What,Where,When,How_Much

Julekoncert 2017.,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Sat 16 December 2017, 1 pm.", 

Jul med klaverelever.,"BrÃ¸ndby Musikskole, TornehÃ¸j 1, BrÃ¸ndby","Sat 16 December 2017, 1.30 pm.",(Free admission)

Jul pÃ¥ Dansk.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Sat 16 December 2017, 2 pm  & 5 pm.",(Entrance fee: 180 DKK. inkl. gebyr)

Egetoft Ebeltoft Kvartet  (with a touch of X-mas).,"Jazzcup, Gothersgade 107, Copenhagen K","Sat 16 December 2017, 2.30 pm.","(Entrance fee: 100,-(80,-))"

Julekoncert med Vokalgruppen kolorit.,"Lutherkirken, Randersgade 3, Copenhagen Ã˜","Sat 16 December 2017, 3 pm.",(Entrance fee: voksne: 50 Studerende: 30 BÃ¸rn u. 15 gratis)

Det Ny Tonefilmsorkester.,"Galaksen, Bymidten 48, VÃ¦rlÃ¸se","Sat 16 December 2017, 3 pm.",(Entrance fee: 85 - 135 DKK)

Koret Facett synger julen ind i SengelÃ¸se Kirke.,"SengelÃ¸se Kirke, Landsbygaden 70, SengelÃ¸se, Taastrup","Sat 16 December 2017, 3 pm.",(Free admission)

"Merry Christmas, Baby.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 16 December 2017, 4 pm.", 

Carmen CulersÂ´ julekoncert 2017.,"Frihavnskirken, Willemoesgade 68, Copenhagen Ã˜","Sat 16 December 2017, 4 pm.",(Entrance fee: 50 DKK.)

Nordlys og Jokers - Julekoncert.,"Kastrup Kirke, Kastruplundgade 3, Kastrup","Sat 16 December 2017, 4 pm  - 5 pm.", 

Julekoncert.,"Hendriksholm Kirke, Damhus Boulevard 70, RÃ¸dovre","Sat 16 December 2017, 4 pm  - 5 pm.", 

Julekoncert med Vox Absona.,"Flintholm Kirke, Junggreensvej 14, Frederiksberg","Sat 16 December 2017, 4 pm  - 5.30 pm.", 

Bauer synger julen ind.,"Emdrup Kirke, Ved Vigen 7-9, Copenhagen NV","Sat 16 December 2017, 4 pm  - 6 pm.", 

Sankt AnnÃ¦ Pigekors Julekoncert.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Sat 16 December 2017, 4.30 pm  - 5.30 pm.", 

Chimbos Revival.,"Mac Donald's Pub, NygÃ¥rds Plads 2G, BrÃ¸ndby","Sat 16 December 2017, 5 pm.",(Free admission)

Koncert med Anne Dorte Michelsen Trio.,"Christians Kirke, Strandgade 1, Copenhagen K","Sat 16 December 2017, 5 pm  - 6 pm.", 

Thomas Dybdahl (no) - FÃ¥ Billetter.,"VEGA, Enghavevej 40, Copenhagen V","Sat 16 December 2017, 7 pm.","(Entrance fee: 295,00 DKK)"


Julekoncert i KÃ¸benhavn med Lars Muhl & Githa Ben-David.,"Unitarernes Hus, Dag HammarskjÃ¶lds AllÃ© 30, Copenhagen Ã˜","Sat 16 December 2017, 7 pm  - 9 pm.",(Entrance fee: 150)

Vinbar med tapas og live musik.,"Cafe Delight ApS, Borups Alle 112, Frederiksberg","Sat 16 December 2017, 8 pm.",(Free admission)

"Sangbar Ã†,Ã˜&Ã… - December.","Christianshavns Beboerhus, Dronningensgade 34, Copenhagen K","Sat 16 December 2017, 8 pm.","(Entrance fee: 30,-)"

ACT 25 at Montmartre: Iiro Rantala.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Sat 16 December 2017, 8 pm.",(Entrance fee: 305 DKK + evt. gebyr)

Rust Live.,"Rust, Guldbergsgade 8, Copenhagen N","Sat 16 December 2017, 8.30 pm.", 

X-Mas 2017: Debre Damo Dining Orchestra.,"Global Copenhagen, NÃ¸rre AllÃ© 7, Copenhagen N","Sat 16 December 2017, 9 pm.",(Entrance fee: 80 DKK)

Honeymoon Disease (SE) + Support.,"Beta, Ã˜resundsvej 6, Copenhagen S","Sat 16 December 2017, 9 pm.","(Entrance fee: 95,00 DKK)"

Soleima (DK) visuals by Dark Matters and Prxjects - UDSOLGT.,"VEGA, Enghavevej 40, Copenhagen V","Sat 16 December 2017, 9.30 pm.","(Entrance fee: 135,00 DKK)"

Somebody's coming.,"Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K","Sat 16 December 2017, 10 pm.",(Entrance fee: 70)

Flavour.,"Rust, Guldbergsgade 8, Copenhagen N","Sat 16 December 2017, 11 pm.", 

"""Ni lÃ¦sninger"" i Kastelskirken.","Kastelskirken, Kastellet 50, Copenhagen Ã˜","Sun 17 December 2017, 10 am.",(Free admission)

Anders &amp; Katrine.,"Galaksen, Bymidten 48, VÃ¦rlÃ¸se","Sun 17 December 2017, 11 am.",(Entrance fee: 130 DKK)

Klassisk Julemusik og Julegodter!,"Baltoppen Bio 1-2, Baltorpvej 20, Ballerup","Sun 17 December 2017, 12 am.",(Entrance fee: 95 DKK)

DR PigeKorets jul.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 17 December 2017, 1 pm  & 4 pm.", 

Julekoncert med Zone2s musikelever.,"Valby Kulturhus, ValgÃ¥rdsvej 4-8, Valby","Sun 17 December 2017, 1 pm  - 3.30 pm.",(Entrance fee: 40 DKK. for voksne og 10 DKK. for bÃ¸rn.)

Anne Linnets Julekoncert.,"Vor Frelsers Kirke, Sankt AnnÃ¦ Gade 29, Copenhagen K","Sun 17 December 2017, 2 pm.", 

Caroline Henderson - Julekoncert 2017.,"Christians Kirke, Strandgade 1, Copenhagen K","Sun 17 December 2017, 3 pm.","(Entrance fee: 275,00 DKK)"

Julekoncert.,"BrÃ¸nshÃ¸j Kirke, BrÃ¸nshÃ¸j Kirkevej 8, BrÃ¸nshÃ¸j","Sun 17 December 2017, 3 pm  - 4 pm.", 

9 lÃ¦sninger med Kammerkoret Laetitia Musica.,"GrÃ¸ndalskirken, HulgÃ¥rdsvej 2, Copenhagen NV","Sun 17 December 2017, 3 pm  - 4 pm.", 

JulefortÃ¦lling: Hvorfor vi holder Jul.,"Frederiksberg Kirke, Pile AllÃ© 1, Frederiksberg C","Sun 17 December 2017, 3 pm  - 4 pm.", 


Julekoncert.,"Skovshoved Kirke, KrÃ¸yersvej 1, Klampenborg","Sun 17 December 2017, 3 pm  - 5 pm.", 

Messias.,"Sankt Pauls Kirke, Sankt Pauls Plads, Copenhagen K","Sun 17 December 2017, 4 pm.","(Entrance fee: 200,-)"

Julekoncert.,"Kastrup Kirke, Kastruplundgade 3, Kastrup","Sun 17 December 2017, 4 pm.",(Free admission)

Sensommerkorets julekoncert 2017.,"Frihavnskirken, Willemoesgade 68, Copenhagen Ã˜","Sun 17 December 2017, 4 pm.",(Free admission)

Julekoncert med Slangerupkoret.,"Filips Kirke, Kastrupvej 57, Copenhagen S","Sun 17 December 2017, 4 pm.",(Free admission)

RÃ¸dovre Concert Band turns 50 Concert NO. 2.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Sun 17 December 2017, 4 pm.","(Entrance fee: 90,00 DKK)"

Julekoncert Amagerbrokirkernes Voksenkor.,"Nathanaels Kirke, Holmbladsgade 19, Copenhagen S","Sun 17 December 2017, 4 pm.", 

Julekoncert.,"HÃ¸jdevangskirken, Irlandsvej 45, Copenhagen S","Sun 17 December 2017, 4 pm  - 5 pm.", 

Julekoncert.,"Mariakirken, Istedgade 20, Copenhagen V","Sun 17 December 2017, 4 pm  - 5 pm.", 

TÃ¥rnbykoret.,"Kastrup Kirke, Kastruplundgade 3, Kastrup","Sun 17 December 2017, 4 pm  - 5 pm.", 

Klassisk julekoncert.,"VallensbÃ¦k Kirke og SognegÃ¥rd, Kirkebakke AllÃ© 9, VallensbÃ¦k","Sun 17 December 2017, 4 pm  - 5.30 pm.", 

Koncert med JoKoFo.,"Anna Kirke, Bjelkes AllÃ© 19-21, Copenhagen N","Sun 17 December 2017, 4 pm  - 5.30 pm.", 

Julekoncert til fordel for Frelsens HÃ¦r.,"Jesuskirken, KirkevÃ¦nget 5 A, Valby","Sun 17 December 2017, 4 pm  - 6 pm.", 

Bachs Juleoratorium med Kantatekoret.,"Store Magleby Kirke, Kirkevej 2, DragÃ¸r","Sun 17 December 2017, 4 pm  - 6 pm.", 

Sankt AnnÃ¦ Pigekors Julekoncert.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Sun 17 December 2017, 4.30 pm  - 5.30 pm.", 

Anne Linnets Julekoncert.,"Vor Frelsers Kirke, Sankt AnnÃ¦ Gade 29, Copenhagen K","Sun 17 December 2017, 5 pm.", 

Julekoncert med Vokalensemblet Dekorum.,"Gentofte Kirke, Gentoftegade 21, Gentofte","Sun 17 December 2017, 5 pm  - 6 pm.", 

Caroline Henderson - Julekoncert 2017.,"Christians Kirke, Strandgade 1, Copenhagen K","Sun 17 December 2017, 6 pm.","(Entrance fee: 275,00 DKK)"

Koncert KÃ¸benhavns Bachkor.,"Sundby Kirke, Amagerbrogade 71, Copenhagen S","Sun 17 December 2017, 7.30 pm  - 9 pm.", 

Det Danske Drengekors Julekoncert.,"Grundtvigs Kirke, PÃ¥ Bjerget 14B, Copenhagen NV","Sun 17 December 2017, 7.30 pm  - 9 pm.", 


Koncert - Fangekoret.,"Buddinge Kirke, Buddingevej 293, SÃ¸borg","Sun 17 December 2017, 7.30 pm  - 9 pm.", 

Messias med Kammerkoret Camerata.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Sun 17 December 2017, 7.30 pm  - 10 pm.", 

Syng dig glad - Julesang.,"TÃ¥rnby Hovedbibliotek, Kamillevej 10, Kastrup","Mon 18 December 2017, 4 pm.",(Entrance fee: 30 DKK.)

Helligaandskirkens kirkekors julekoncert.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Mon 18 December 2017, 4.30 pm  - 5.30 pm.", 

FlÃ¸jtejul pÃ¥ Kilden.,"Kulturhuset Kilden, NygÃ¥rds Plads 31, BrÃ¸ndby","Mon 18 December 2017, 5 pm.",(Free admission)

DR PigeKorets jul.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Mon 18 December 2017, 6.30 pm.",(Entrance fee: 110 - 350 DKK)

Messias med Kammerkoret Camerata.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Mon 18 December 2017, 7.30 pm  - 10 pm.", 

24 Timer Musicals.,"Bremen Teater, Nyropsgade 39-41, Copenhagen V","Mon 18 December 2017, 8 pm.",(Entrance fee: 265 DKK + evt. gebyr)

Jakob Ogawa (NO).,"Ideal Bar, Enghavevej 40, Copenhagen V","Mon 18 December 2017, 8 pm.",(Entrance fee)

Solstafir + Myrkur - FÃ¥ Billetter.,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Mon 18 December 2017, 8 pm.","(Entrance fee: 200,00 DKK)"

The BigBand: Merry Christmas Everyone.,"Valby Kulturhus, ValgÃ¥rdsvej 4-8, Valby","Mon 18 December 2017, 8 pm  - 10.30 pm.",(Entrance fee: 60 DKK.)

Monday Night Big Band med gÃ¦ster feat. Bob Moreno Dirigent: Niels JÃ¸rgen Steen.,"Huset KBH - Stardust, RÃ¥dhusstrÃ¦de 13, 1. tv., Copenhagen K","Mon 18 December 2017, 9 pm  - 11.30 pm.",(Entrance fee: 200 DKK)

Monday Juke Joint.,"Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K","Mon 18 December 2017, 9.30 pm.",(Free admission)

Musik op til jul.,"Husumvold Kirke, Gadelandet 25, BrÃ¸nshÃ¸j","Tues 19 December 2017, 4.30 pm  - 9 pm.", 

Julekoncert.,"Glostrup Bibliotek, KildevÃ¦ldets AllÃ© 5, Glostrup","Tues 19 December 2017, 5 pm.",(Free admission)

Caroline Henderson - Julekoncert 2017.,"Sankt Jakobs Kirke, Ã˜sterbrogade 59, Copenhagen Ã˜","Tues 19 December 2017, 5 pm  & 8 pm.","(Entrance fee: 275,00 DKK)"

Bachs Juleoratorium med KÃ¸benhavns Kantatekor.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Tues 19 December 2017, 7.30 pm.",(Entrance fee: 120 - 210 DKK)

De ni lÃ¦sninger og Carols.,"DyssegÃ¥rdskirken, DyssegÃ¥rdsvej 19, Hellerup","Tues 19 December 2017, 7.30 pm  - 8.30 pm.", 

Julekoncert med Laura KjÃ¦rgaard.,"Vigerslev Kirke, Lykkebovej 1, Valby","Tues 19 December 2017, 7.30 pm  - 8.30 pm.", 

Julekoncert med Kor Dialis.,"Margrethekirken, KirsebÃ¦rhaven 10, Valby","Tues 19 December 2017, 7.30 pm  - 9 pm.", 


Messias.,"Grundtvigs Kirke, PÃ¥ Bjerget 14B, Copenhagen NV","Tues 19 December 2017, 7.30 pm  - 10 pm.", 

Bachs Juleoratorium med KantateKoret.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Tues 19 December 2017, 7.30 pm  - 11 pm.", 

Aj Tracey (uk).,"VEGA, Enghavevej 40, Copenhagen V","Tues 19 December 2017, 8 pm.","(Entrance fee: 165,00 DKK)"

CÃ¦cilie Norby's Jazzy Christmas.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Tues 19 December 2017, 8 pm.",(Entrance fee: 405 DKK + evt. gebyr)

Julekoncert med Kammerkoret Broccoli.,"Frihavnskirken, Willemoesgade 68, Copenhagen Ã˜","Tues 19 December 2017, 8 pm.","(Entrance fee: 50,-)"

Acappella korets juleafslutning 19. dec. kl. 20.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Tues 19 December 2017, 8 pm.",(Free admission)

Onsdagsjazz V. Jacob Fischer - Dagens Gryde.,"Bartof Station, Solbjergvej 3, Frederiksberg","Wed 20 December 2017, 4.30 pm.",(Entrance fee)

Koncert med Caroline Henderson.,"Christians Kirke, Strandgade 1, Copenhagen K","Wed 20 December 2017, 5 pm  - 6 pm.", 

Korkoncert.,"Sankt Petri Kirke, Sankt Peders StrÃ¦de 2, Copenhagen K","Wed 20 December 2017, 5.30 pm.",(Free admission)

Bachs Juleoratorium med KÃ¸benhavns Kantatekor.,"BagsvÃ¦rd Kirke, Taxvej 14-16, BagsvÃ¦rd","Wed 20 December 2017, 7.30 pm.",(Entrance fee: 120 - 170 DKK)

Flamencolegenderne.,"Kulturhuset Indre By, Charlotte Ammundsens Plads 3, Copenhagen K","Wed 20 December 2017, 7.30 pm.",(Entrance fee: 155 DKK + evt. gebyr)

Messias.,"Grundtvigs Kirke, PÃ¥ Bjerget 14B, Copenhagen NV","Wed 20 December 2017, 7.30 pm  - 10 pm.", 

Koncert med Verdenskoret og Onsdagsklubben.,"Anna Kirke, Bjelkes AllÃ© 19-21, Copenhagen N","Wed 20 December 2017, 7.30 pm  - 10 pm.", 

CÃ¦cilie Norby's Jazzy Christmas.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Wed 20 December 2017, 8 pm.",(Entrance fee: 405 DKK + evt. gebyr)

Jul i Sokkelund.,"Garnisonskirken, Sankt AnnÃ¦ Plads 4, Copenhagen K","Wed 20 December 2017, 8 pm.","(Entrance fee: 130 (std.), 105 (grp.), 65 (stud.))"

Koncert i anledning af Fini Henriques 150 Ã¥rs fÃ¸dselsdag.,"MÃ¸stings Hus, Andebakkesti 5, Frederiksberg","Wed 20 December 2017, 8 pm.",(Free admission)

Dreamers' Circus.,"Republique, Ã˜sterfÃ¦lled Torv 37, Copenhagen Ã˜","Wed 20 December 2017, 8 pm.",(Entrance fee: 250 DKK + evt. gebyr)

Koncert med Caroline Henderson.,"Christians Kirke, Strandgade 1, Copenhagen K","Wed 20 December 2017, 8 pm  - 9 pm.", 

Jesse Baldwell and the Free Union.,"Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K","Wed 20 December 2017, 9.30 pm.",(Free admission)

Â½ times julemusik.,"BrÃ¸nshÃ¸j Kirke, BrÃ¸nshÃ¸j Kirkevej 8, BrÃ¸nshÃ¸j","Thur 21 December 2017, 5 pm  - 5.30 pm.", 


Zididada.,"Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K","Thur 21 December 2017, 7 pm.",(Entrance fee: 220)

"ALL SWING &amp; BOSSA, Ole Schmidt, tenorsax og JÃ¸rgen Schaarup, guitar.","Argentinsk Vinbar Tango y Vinos, Herluf Trolles gade 9, Copenhagen K","Thur 21 December 2017, 7 pm  - 9 pm.", 

Johannes' Ã…benbaring.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 21 December 2017, 7.30 pm.",(Entrance fee: 85 - 497 DKK)

Messias med Kammerkoret Camerata.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Thur 21 December 2017, 7.30 pm  - 10 pm.", 

Julekoncert med Vokalensemblet Dekorum.,"Frihavnskirken, Willemoesgade 68, Copenhagen Ã˜","Thur 21 December 2017, 8 pm.",(Entrance fee: 50)

CÃ¦cilie Norby's Jazzy Christmas.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Thur 21 December 2017, 8 pm.",(Entrance fee: 405 DKK + evt. gebyr)

Koncert med Caroline Henderson.,"Christians Kirke, Strandgade 1, Copenhagen K","Thur 21 December 2017, 8 pm  - 9 pm.", 

"Jacob Fischer ""Young X-mas Friends"".","Jazzcup, Gothersgade 107, Copenhagen K","Fri 22 December 2017, 3.30 pm.","(Entrance fee: 120,-(100,-))"

Fredagskoncert.,"Trinitatis Kirke, LandemÃ¦rket 2, Copenhagen K","Fri 22 December 2017, 4.30 pm  - 5.30 pm.", 

Julekoncert.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Fri 22 December 2017, 4.30 pm  - 5.45 pm.", 

Advent IV.,"Solbjerg Kirke, Howitzvej 30A, Frederiksberg","Fri 22 December 2017, 5 pm.",(Free admission)

Â½ times julemusik.,"BrÃ¸nshÃ¸j Kirke, BrÃ¸nshÃ¸j Kirkevej 8, BrÃ¸nshÃ¸j","Fri 22 December 2017, 5 pm  - 5.30 pm.", 

Adventskoncert med Solbjerg Kirkes Kammerorkester.,"Solbjerg Kirke, Howitzvej 30A, Frederiksberg","Fri 22 December 2017, 5 pm  - 6 pm.", 

CÃ¦cilie Norby's Jazzy Christmas.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Fri 22 December 2017, 8 pm.",(Entrance fee: 405 DKK + evt. gebyr)

Jul med Det Danske Kammerkor.,"Lindevang Kirke, Hattensens AllÃ© 12, Frederiksberg","Fri 22 December 2017, 8 pm  - 9.30 pm.", 

Mens vi venter.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Fri 22 December 2017, 9 pm.",(Free admission)

Infernal (dk) - FÃ¥ Billetter.,"VEGA, Enghavevej 40, Copenhagen V","Fri 22 December 2017, 9.30 pm.","(Entrance fee: 200,00 DKK)"

Dale Smith Blues Band.,"Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K","Fri 22 December 2017, 10 pm.",(Entrance fee: 100 DKK)

Mulatov.,"Rust, Guldbergsgade 8, Copenhagen N","Fri 22 December 2017, 11 pm.", 

Rust Natklub.,"Rust, Guldbergsgade 8, Copenhagen N","Fri 22 December 2017, 11 pm.", 


MatinÃ©.,"Vor Frue Kirke - KÃ¸benhavns Domkirke, NÃ¸rregade 8, Copenhagen K","Sat 23 December 2017, 12 am.",(Free admission)

Julevesper.,"Vor Frue Kirke - KÃ¸benhavns Domkirke, NÃ¸rregade 8, Copenhagen K","Sun 24 December 2017, 2.30 pm.",(Free admission)

Bachkantater i Sankt Petri.,"Sankt Petri Kirke, Sankt Peders StrÃ¦de 2, Copenhagen K","Mon 25 December 2017, 3 pm.",(Free admission)

Ã˜sterbro Jazzklub: Norbert Susemihl's Joyful Gumbo.,"Kulturhuset KrudttÃ¸nden, Serridslevvej 2, Copenhagen Ã˜","Tues 26 December 2017, 3.30 pm.",(Entrance fee: M 80/ G 120)

Frede Fup + Ama?r Kix.,"Amager Bio, Ã˜resundsvej 6, Copenhagen S","Wed 27 December 2017, 8 pm.","(Entrance fee: 195,00 DKK)"

Bobo Moreno m.fl.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Wed 27 December 2017, 8 pm.",(Entrance fee: 330 DKK + evt. gebyr)

Sankt Hell - Julerock PÃ¥ Loppen!,"Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K","Wed 27 December 2017, 8.30 pm.",(Entrance fee: 220 DKK)

Suspekt (dk) - Udsolgt.,"VEGA, Enghavevej 40, Copenhagen V","Wed 27 December 2017, 9 pm.","(Entrance fee: 300,00 DKK)"

Peter Belli &amp; De Rejsende - Venteliste.,"Amager Bio, Ã˜resundsvej 6, Copenhagen S","Thur 28 December 2017, 8 pm.","(Entrance fee: 245,00 dkk - 360,00 dkk)"

Zapp Zapp.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 28 December 2017, 8 pm.",(Entrance fee: 295 DKK)

Bobo Moreno m.fl.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Thur 28 December 2017, 8 pm.",(Entrance fee: 330 DKK + evt. gebyr)

Suspekt (dk) - Venteliste.,"VEGA, Enghavevej 40, Copenhagen V","Thur 28 December 2017, 9 pm.","(Entrance fee: 300,00 DKK)"

NytÃ¥rsgalla.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 29 December 2017, 3 pm.",(Entrance fee: 248 - 992 DKK)

December jazz.,"TÃ¥rnby Hovedbibliotek, Kamillevej 10, Kastrup","Fri 29 December 2017, 3.30 pm  - 5.30 pm.",(Free admission)

Bobo Moreno m.fl.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Fri 29 December 2017, 8 pm.",(Entrance fee: 330 DKK + evt. gebyr)

Amagerbro Jazz: Wonderbrazz.,"Kvarterhuset, Jemtelandsgade 3, Copenhagen S","Fri 29 December 2017, 8 pm  - 9.30 pm.",(Entrance fee: 100/50)

Suspekt (DK) Ekstra ekstra koncert.,"VEGA, Enghavevej 40, Copenhagen V","Fri 29 December 2017, 9 pm.","(Entrance fee: 300,00 DKK)"

OrgelmatinÃ©.,"Vor Frue Kirke - KÃ¸benhavns Domkirke, NÃ¸rregade 8, Copenhagen K","Sat 30 December 2017, 12 am.",(Free admission)

Bobo Moreno m.fl.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Sat 30 December 2017, 8 pm.",(Entrance fee: 330 DKK + evt. gebyr)

Mikkel NordsÃ¸ Band Juleshow 2017.,"Amager Bio, Ã˜resundsvej 6, Copenhagen S","Sat 30 December 2017, 9 pm.","(Entrance fee: 195,00 DKK)"


Klokkespilskoncert.,"Vor Frelsers Kirke, Sankt AnnÃ¦ Gade 29, Copenhagen K","Fri 24 November 2017, 3 pm.",(Free admission)

"Kjeld Lauritsen ""Hammond Organ 7"".","Jazzcup, Gothersgade 107, Copenhagen K","Fri 24 November 2017, 3.30 pm.","(Entrance fee: 120,-(100,-))"

Fyraftenskoncert med Amazone Kvartetten.,"Gentofte Kirke, Gentoftegade 21, Gentofte","Fri 24 November 2017, 4.30 pm  - 5.30 pm.", 

Fredagskoncert.,"Trinitatis Kirke, LandemÃ¦rket 2, Copenhagen K","Fri 24 November 2017, 4.30 pm  - 5.30 pm.", 

Koncert med Theatre of Voices.,"Frederiksberg Kirke, Pile AllÃ© 1, Frederiksberg C","Fri 24 November 2017, 5 pm  - 6 pm.", 

Koncertserien 24 - koncerter med unge talenter.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Fri 24 November 2017, 7 pm.",(Free admission)

Jan zum Vohrde &amp; Morten HÃ¸jring trio.,"Cafe Emma, Axeltorv 3, Copenhagen V","Fri 24 November 2017, 7 pm.",(Free admission)

Afkham &amp; Aimard.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 24 November 2017, 7.30 pm.",(Entrance fee: 85 - 497 DKK)

Cphphil Anders Koppel 70 Ã¥r.,"Det Kongelige Bibliotek/Den Sorte Diamant, SÃ¸ren Kierkegaards Plads 1, Copenhagen K","Fri 24 November 2017, 7.30 pm.",(Entrance fee: 295 DKK + evt. gebyr)

"Viseaften, ""DÃ¸gnet rundt"".","Kulturhuset PilegÃ¥rden, BrÃ¸nshÃ¸jvej 17, BrÃ¸nshÃ¸j","Fri 24 November 2017, 7.30 pm.","(Entrance fee: medl. DKK.40,- gÃ¦ster DKK.70,-)"

"Skar's Blues Band spiller pÃ¥ CafÃ© Espersen, DragÃ¸r Havn.","Cafe Espersen, FÃ¦rgevej 1-3, DragÃ¸r","Fri 24 November 2017, 7.30 pm.",(Free admission)

Viseaften v/ Visens Venner: DÃ¸gnet rundt.,"Kulturhuset PilegÃ¥rden, BrÃ¸nshÃ¸jvej 17, BrÃ¸nshÃ¸j","Fri 24 November 2017, 7.30 pm  - 10.30 pm.",(Entrance fee: 70 DKK.)

The Minds Of 99.,"Amager Bio, Ã˜resundsvej 6, Copenhagen S","Fri 24 November 2017, 8 pm.", 

Christina von BÃ¼low m.fl.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Fri 24 November 2017, 8 pm.",(Entrance fee: 305 DKK + evt. gebyr)

Cool Sweetness Sextet.,"Utterslev JazzcafÃ©, Utterslev Skole, Skoleholdervej 20, Copenhagen NV","Fri 24 November 2017, 8 pm.",(Entrance fee: 100 DKK)

Bigbandet WONDERBRA inviterer til efterÃ¥rskoncert.,"Baghuset, Sct. Jacobsvej 1, Ballerup","Fri 24 November 2017, 8 pm.",(Entrance fee: 50)

EMS - En temaaften om EMS (ElektronMusikStudion).,"Christianshavns Beboerhus, Dronningensgade 34, Copenhagen K","Fri 24 November 2017, 8 pm.",(Entrance fee: 60 DKK)

Amagerbro Jazz: Mighty Mouse.,"Kvarterhuset, Jemtelandsgade 3, Copenhagen S","Fri 24 November 2017, 8 pm  - 9.30 pm.",(Entrance fee: 100/50)

Route 66 - 60'er musik - Bobby Molino & Nutrockers.,"EllegÃ¥rden, Stavnsholtvej 168, Farum","Fri 24 November 2017, 8.30 pm  - kl. 00.30.",(Entrance fee: 100/140)

D/troit + special guests.,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Fri 24 November 2017, 9 pm.",(Entrance fee: 115 - 170 DKK)


NytÃ¥rsgalla.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 31 December 2017, 1 pm  & 5 pm.",(Entrance fee: 248 - 992 DKK)

Singlerock's fantastiske NytÃ¥rsaften.,"CafÃ© Ae, Frederikssundsvej 7, Copenhagen NV","Sun 31 December 2017, 5 pm.","(Entrance fee: Kvinde kl 17 - 17.45 590 DKK, Mand kl. 17 - 17.45 590 DKK)"

"Open mike: Peter, Theis and Jens.","Comedy Zoo, KnabrostrÃ¦de 19, Copenhagen K","Sun 31 December 2017, 8 pm.",(Entrance fee: 145 - 165 DKK)

Vi Elsker 90'erne ( Warm up/ New year edition).,"Damhus Kroen, Roskildevej 244, RÃ¸dovre","Sun 31 December 2017, 9 pm.",(Entrance fee)

Folkets Hus Spillefolk NytÃ¥rsbal.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Mon 1 January 2018, 2 pm.",(Free admission)

